"INCITS","County or equivalent","State or district","Pop Rank","2013 Pop","Core Based Statistical Area","Combined Statistical Area"
"01001","Autauga County","Alabama","911","55,246","Montgomery, AL Metropolitan Statistical Area",""
"01003","Baldwin County","Alabama","329","195,540","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area","Mobile-Daphne-Fairhope, AL Combined Statistical Area"
"01005","Barbour County","Alabama","1531","27,076","",""
"01007","Bibb County","Alabama","1708","22,512","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01009","Blount County","Alabama","884","57,872","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01011","Bullock County","Alabama","2386","10,639","",""
"01013","Butler County","Alabama","1828","20,265","",""
"01015","Calhoun County","Alabama","522","116,736","Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",""
"01017","Chambers County","Alabama","1323","34,162","Valley, AL Micropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
"01019","Cherokee County","Alabama","1555","26,203","",""
"01021","Chilton County","Alabama","1087","43,951","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01023","Choctaw County","Alabama","2216","13,426","",""
"01025","Clarke County","Alabama","1599","25,207","",""
"01027","Clay County","Alabama","2211","13,486","",""
"01029","Cleburne County","Alabama","2108","14,994","",""
"01031","Coffee County","Alabama","970","50,938","Enterprise, AL Micropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01033","Colbert County","Alabama","919","54,520","Florence-Muscle Shoals, AL Metropolitan Statistical Area",""
"01035","Conecuh County","Alabama","2244","12,887","",""
"01037","Coosa County","Alabama","2367","10,898","Talladega-Sylacauga, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01039","Covington County","Alabama","1224","37,886","",""
"01041","Crenshaw County","Alabama","2174","13,986","",""
"01043","Cullman County","Alabama","687","80,811","Cullman, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01045","Dale County","Alabama","983","49,884","Ozark, AL Micropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01047","Dallas County","Alabama","1128","41,996","Selma, AL Micropolitan Statistical Area",""
"01049","DeKalb County","Alabama","755","71,013","",""
"01051","Elmore County","Alabama","685","80,902","Montgomery, AL Metropolitan Statistical Area",""
"01053","Escambia County","Alabama","1219","37,983","",""
"01055","Etowah County","Alabama","566","103,931","Gadsden, AL Metropolitan Statistical Area",""
"01057","Fayette County","Alabama","1988","16,909","",""
"01059","Franklin County","Alabama","1400","31,532","",""
"01061","Geneva County","Alabama","1543","26,727","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01063","Greene County","Alabama","2542","8,744","",""
"01065","Hale County","Alabama","2081","15,406","Tuscaloosa, AL Metropolitan Statistical Area",""
"01067","Henry County","Alabama","1966","17,296","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01069","Houston County","Alabama","567","103,668","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01071","Jackson County","Alabama","941","52,951","Scottsboro, AL Micropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
"01073","Jefferson County","Alabama","95","659,479","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01075","Lamar County","Alabama","2157","14,236","",""
